scale_label,scale_factor,n,gamma,family,mean_score,std_score,mean_penalty,mean_log_H,entropy_method,count
1.800,1.8,52,0.6,KR_like,-99.00220106198478,0.7901201264958932,16.155748918057142,108.69565041281906,sis,2
1.800,1.8,52,0.6,lorentzian_like_2d,-79.03366921293144,1.3849076281703896,1.7048744905997761,80.0565939072913,exact,2
1.800,1.8,52,0.8,KR_like,-95.77105127837335,0.9266526230139626,16.155748918057142,108.69565041281906,sis,2
1.800,1.8,52,0.8,lorentzian_like_2d,-78.69269431481148,1.4082519607369006,1.7048744905997761,80.0565939072913,exact,2
1.800,1.8,52,1.0,KR_like,-92.53990149476192,1.0631851195320519,16.155748918057142,108.69565041281906,sis,2
1.800,1.8,52,1.0,lorentzian_like_2d,-78.35171941669152,1.431596293303407,1.7048744905997761,80.0565939072913,exact,2
1.800,1.8,52,1.5,KR_like,-84.46202703573336,1.404516360827265,16.155748918057142,108.69565041281906,sis,2
1.800,1.8,52,1.5,lorentzian_like_2d,-77.49928217139164,1.4899571247197025,1.7048744905997761,80.0565939072913,exact,2
1.800,1.8,52,2.0,lorentzian_like_2d,-76.64684492609175,1.548317956135983,1.7048744905997761,80.0565939072913,exact,2
1.800,1.8,52,2.0,KR_like,-76.38415257670478,1.7458476021224583,16.155748918057142,108.69565041281906,sis,2
1.820,1.82,52,0.0,KR_like,-108.69565041281906,0.3805226369416454,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.0,lorentzian_like_2d,-80.0565939072913,1.3148746304708359,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,0.1,KR_like,-107.07260611012467,0.44954463327012834,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.1,lorentzian_like_2d,-79.88432491907503,1.3266264112198787,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,0.2,KR_like,-105.44956180743026,0.5185666295986163,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.2,lorentzian_like_2d,-79.71205593085878,1.3383781919689266,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,0.4,KR_like,-102.20347320204147,0.6566106222555822,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.4,lorentzian_like_2d,-79.36751795442623,1.3618817534669925,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,0.6,KR_like,-98.95738459665267,0.7946546149125632,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.6,lorentzian_like_2d,-79.02297997799371,1.3853853149650834,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,0.8,KR_like,-95.71129599126388,0.932698607569524,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,0.8,lorentzian_like_2d,-78.67844200156117,1.4088888764631642,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,1.0,KR_like,-92.46520738587508,1.070742600226495,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,1.0,lorentzian_like_2d,-78.33390402512865,1.432392437961255,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,1.5,KR_like,-84.3499858724031,1.4158525818689247,16.230443026943988,108.69565041281906,sis,2
1.820,1.82,52,1.5,lorentzian_like_2d,-77.47255908404732,1.4911513417064646,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,2.0,lorentzian_like_2d,-76.61121414296599,1.5499102454516742,1.7226898821626535,80.0565939072913,exact,2
1.820,1.82,52,2.0,KR_like,-76.23476435893109,1.7609625635113444,16.230443026943988,108.69565041281906,sis,2
